celebrity_name,followers
Jeannie Mai,3000000
Martin Kove,1400000
Brian Austin Green,790000
Melora Hardin,326000
Matt James,884000
"Mike ""The Miz"" Mizanin",4200000
Suni Lee,3600000
Iman Shumpert,2300000
Cody Rigsby,1400000
Melanie C,1200000
Jimmie Allen,486000
Olivia Jade,1300000
JoJo Siwa,11300000
Christine Chiu,1500000
Kenya Moore,2400000
Amanda Kloots,780000
Jason Lewis,105000
Cheryl Ladd,98800
Selma Blair,3200000
Joseph Baena,600000
Trevor Donovan,289000
Daniel Durant,196000
Wayne Brady,524000
Sam Champion,202000
Jessie James Decker,4400000
Jordin Sparks,2300000
Heidi D'Amelio,1900000
Charli D'Amelio,41000000
Teresa Giudice,2300000
Vinny Guadagnino,4000000
Shangela,1000000
Gabby Windey,1500000
Jamie Lynn Spears,2200000
Mira Sorvino,230000
Barry Williams,98000
Alyson Hannigan,2700000
Xochitl Gomez,2500000
Adrian Peterson,633000
Matt Walsh,2000000
Tyson Beckford,721000
Jason Mraz,1000000
Lele Pons,54000000
Harry Jowsey,4500000
Mauricio Umansky,821000
Charity Lawson,281000
Ariana Madix,3000000
Tori Spelling,1800000
Eric Roberts,60000
Reginald VelJohnson,26000
Chandler Kinney,680000
Dwight Howard ,4000000
Danny Amendola,313000
Stephen Nedoroscik,700000
Ilona Maher,5400000
Anna Delvey,1200000
Brooks Nader,1800000
Phaedra Parks,3100000
Jenn Tran,557000
Joey Graziadei,1000000
Corey Feldman,262000
Danielle Fishel,1800000
Elaine Hendrix,482000
Baron Davis,350000
Jordan Chiles,1700000
Andy Richter,174000
Robert Irwin,9400000
Hilaria Baldwin,1000000
Lauren Jauregui,12000000
Scott Hoying,1300000
Alix Earle,5000000
Jen Affleck,1600000
Whitney Leavitt,1500000
Dylan Efron,1700000
